,B Cell,Epithelium,Myeloid,Stroma,T Cell,Unknown,rho_Spearman,rho_Pearson
CID003671-1,0.4918335415534564,0.024726902897054506,0.1283268261207301,0.15830120330686545,0.1850330130065451,0.011778513115348485,0.8683658001949702,0.5927363943702156
CID003672-1,0.373082150324073,0.05185145114758298,0.03771040139990282,0.12758308835381488,0.3798920186226957,0.029880890151930555,0.8769774546986936,0.6906308671479087
CID003673-1,0.0005625575431587755,0.2834215124005996,0.06693298763618967,0.06669377148606949,0.19304647077797898,0.3893427001560035,0.7969780719220181,0.6663899811197284
CID003674-1,0.31851934576648666,0.08639634570939823,0.08484574837527932,0.30188540389679663,0.18315003986127737,0.02520311639076165,0.7194597480247705,0.6211485534483128
CID003675-1,0.31506885967480014,0.049512331116392125,0.012302998475880499,0.17213835776010433,0.0764749989408776,0.3745024540319453,0.7774757690686893,0.6509715415777012
CID003676-2,0.013940831584435046,0.14327326515281444,0.04413419691905254,0.23847067192508248,0.11913639270278485,0.4410446417158306,0.7409197218710493,0.6179552972980151
CID003677-1,0.035502437899159106,0.1013781176876314,0.037866483351654004,0.06699185500109614,0.6198715504539045,0.13838955560655478,0.7620248630425621,0.642640351783345
CID003678-1,0.00027431102006928115,0.14586640179267366,0.08035141379367583,0.052575419286298844,0.36450146733965805,0.35643098676762436,0.7520733899460733,0.6264168901139628
CID003679-1,0.33364463822010326,0.12041031418965285,0.06775802000057511,0.06900701155856205,0.34134269182631793,0.06783732420478888,0.8315512065806401,0.7437178450331199
CID003680-1,0.000414869005871645,0.2034579930243687,0.004425573503037795,0.15201914176203385,0.31980245375838995,0.31987996894629805,0.7288938714499252,0.6066358700593473
CID003681-1,0.009296424372580239,0.1761894946854219,0.011267820602607184,0.20961833498223217,0.14104362404564297,0.4525843013115156,0.7454186321520929,0.607096396965606
CID003682-1,0.048319735736054366,0.3099558618021851,0.0003641071137389701,0.12836748791657718,0.16221371516122252,0.35077909227022175,0.7295817530552043,0.6418160058521017
CID003683-1,0.006471735230989933,0.5800459411833978,0.007479758006008352,0.16827893831809854,0.0005466990355175963,0.23717692822598782,0.7282985718555482,0.5685439493088356
CID004696-1,0.0005409116877916643,0.03777670238087863,0.02457671727777252,0.2550283221678716,0.2263829958024566,0.455694350683229,0.8207583230004754,0.5887809884557045
CID004697-1,0.003652581717505234,0.06358858822164815,0.061478170563941684,0.2701651044003692,0.34287893677636244,0.2582366183201733,0.8097187104930468,0.6245555966024761
CID004698-1,0.01942743886499913,0.02833461945661644,0.023089149501350683,0.2788744327801645,0.3444713402276373,0.305803019169232,0.8519421311125347,0.637075148499447
CID004699-1,0.1818374859394996,0.0752609217285378,0.00014225262759100346,0.29377212966407185,0.18079626291286743,0.26819094712743224,0.8528630288060517,0.6706765379952337
CID004700-1,0.0005464161960875186,0.11716928217741902,0.001583951372563995,0.45247940682516474,0.14776930395856358,0.28045163947020124,0.8442548089409075,0.6438335867825333
CID004701-1,0.044956005766072955,0.0625623444914495,0.004343877520875133,0.4866791912446622,0.15798166173644487,0.24347691924049533,0.8912929745889387,0.6884733790418512
CID004702-1,0.026830730973857773,0.36391119593695703,0.00012897794284555056,0.3346798267479463,0.062477332992598215,0.21197193540579515,0.7881637168141592,0.6136924855956657
CID004703-1,0.07706063157548541,0.029977164442295798,0.03401432017729907,0.2614779827197339,0.24968344679817767,0.3477864542870083,0.8570241439238031,0.6121788925976808
CID004704-1,0.085998580676211,0.13996801566687342,0.027473243056143473,0.3650659544189893,0.2617469298732695,0.11974727630851344,0.8710473994037372,0.6622147266741463
CID004705-1,0.03901384592033455,0.04499439658144086,0.09941201669342825,0.09023424677072624,0.3479698358883997,0.3783756581456704,0.82625772496519,0.6456572104725671
