,CID005226-1,CID005227-1,CID005798-1,CID005799-1,CID005800-1,CID005801-1,CID006004-1,CID007374-1,CID007376-1,CID007378-1,CID007380-1,CID007382-1,CID007384-1,CID007386-1,CID007790-1,CID007792-1,CID007794-1,CID007796-1,CID007798-1,CID007800-1,CID007802-1,CID007804-1,CID008392-1,CID008394-1,CID008396-1,CID008398-1,CID008400-1,CID008402-1,CID008404-1,CID008406-1
Plasma Cell IgA,0.00993092760778836,0.0065875261155976745,0.009100001949561433,0.0010265518901500055,0.004451553650293499,0.008045218393063169,0.0,9.295805093689473e-05,0.0073178250149555195,0.00475014799930338,0.006709736437009992,0.0021523971894566655,0.006349407021025687,0.008007080796754693,0.001660118989587054,0.0070695852424268,0.003492999692007407,0.007052152136443322,0.0022249358192337177,0.011073353859417753,0.005496479481730696,0.002377395757924247,0.00692795276734029,0.0022681208076606855,0.004406295256658223,0.007499055670292742,0.008281114173991562,0.010731996794803477,0.004119202228678867,0.007380729273952515
Plasma Cell IgG,0.0,0.0,0.009440114574138927,0.008486829486128281,0.0015684186696000198,0.0129632051609743,0.00416228060306974,0.00794739125558485,0.009259697203481007,0.005971660372414079,0.009838454178646676,0.005808046911144535,0.010084515172129169,0.008070692662702647,0.008105580858947385,0.00538821352162299,0.007455290877430076,0.0042597714874315525,0.009070291179546544,0.009593107051596992,0.015309020053913958,0.012114967312685026,0.004199084744958128,0.002534969843258899,0.010058337756455692,0.005255691231542494,0.007122617348398928,0.007298349762172051,0.007942708352785762,0.008756172738811538
Arterial Pericyte,0.05375544046134373,0.05110897213395465,0.09296372736204744,0.016000272358917034,0.038867244946984625,0.056554460014690826,0.0,0.0,0.0034998375157606638,0.010123567046480179,0.033317362023872546,0.013261108446168122,0.0,0.04491774168305255,0.032400350608368,0.04615849585014075,0.03388158123379538,0.0685355022774827,0.0128094739299317,0.0,0.020083536405910204,0.05528345669962819,0.0066764619320150214,0.0016020713434999206,0.0,0.06343819391008072,0.0288579675250947,0.04308346416012377,0.0,0.027917257098235303
Blood Endothelial Cell 1,0.006012075064170903,0.01758228808066071,0.0,0.0,0.0,0.0019262047150166459,0.0057306863332063146,0.021534256995101794,0.005334852861872135,0.0285753713499919,0.018043660992715527,0.011829800415688055,0.03413853269156335,3.6764612801998174e-05,0.0033375972459089515,0.0034934346093267246,0.01584198844375291,0.003219845070664004,0.016136549255746844,0.04286244665647643,0.010891131754644541,0.0023927472496755556,0.031249636205663015,0.0173213848070143,0.012996511825290807,0.004532944401749694,0.013922916972800205,0.022217363829388964,0.026145134902888306,0.02252936476127118
Blood Endothelial Cell 2,0.0,0.0,0.0,0.016042228203129887,0.0,0.0,0.031472530688988955,0.02841411527215526,0.02703296122275376,0.0,0.0024768596974082545,0.0,0.003778669136052963,0.002501157628957268,0.0,0.0,0.0,0.0,0.0011251858652100786,0.003455495187040531,0.004631734345676598,0.0,0.0028882286195941512,0.00046557947928036456,0.02009087832176382,0.0,0.0,0.0,0.01009364591937593,0.0
Glial Cell,0.020007943057481156,0.021706125584958613,0.007511743632847234,0.0,0.039131904580006004,0.020210728186555633,0.0,0.0,0.0,0.02582115719606408,0.0007311281328652959,0.012658372230989319,0.005317996129718192,0.01974804796376417,0.011618489598438064,0.0005116764723059167,0.009158248756589354,0.01511210541019459,0.0,0.0,0.0,0.0,0.0016852864108336263,0.0039015063003506475,0.0012597952630248848,0.016792644639279316,0.011488963494412594,0.011228697523383556,0.014751804487470764,0.017704115950011944
Inflammatory Fibroblast,0.0,0.0,0.0,0.0,0.0,0.0,0.0721144804748148,0.016005737913237405,0.011431548839466262,0.0,0.0,0.0,0.07409894043504815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010675548071640157,0.04642419530414296,0.0,0.05973651063907743,0.0,0.0,0.0,0.08206454001372307,0.0
Myofibroblast 1,0.009956895195014632,0.0,0.025363946961090355,0.002901623240972024,0.0,0.0007417673621492222,0.004581062116273785,0.0,0.0,0.0,0.0022727961435281335,0.007712389187574571,0.0,0.00252791771901185,0.005095557966423305,0.0014731288083583657,0.006757799306701334,0.004060643491765229,0.00267324729425617,0.0,0.00864198183918495,0.007746395614979279,0.0,0.0,0.0,0.006969986869198817,0.0,0.0,0.0,0.00036740874446758665
Pericryptal Fibroblast RSPO3+,0.058009626608521485,0.03921763780078315,0.10619892231213057,0.012680707875520565,0.028644954172851286,0.02483277656718016,0.0,0.0,0.0,0.019276397279299685,0.054564923590723693,0.06211918448818548,0.0,0.12368371795567383,0.026670494788319586,0.030487174949988795,0.06728706584209082,0.08269941511440836,0.049993863138030524,0.007447378188746214,0.027110161422098527,0.0,0.0,0.010432884417974927,0.0,0.11144874137587663,0.08768483856631946,0.045857269576271446,0.0,0.05037579981417306
Pericyte,0.0,0.0,0.0,0.004299972947651409,0.0,0.0,0.020875422852629204,0.030970705144862366,0.013117648307620536,0.011867318957471215,0.0,0.006296147265191164,0.018438733734164034,0.0,0.0,0.0,0.0,0.0,0.008115413823734794,0.024940799291828054,0.0051070506106241234,0.0,0.009359792093106686,0.0077680524459505405,0.013191628960828577,0.0,0.0003011891841883331,0.0,0.019580913047548127,0.0
Post-capillary venules,0.0,0.0,0.0,0.003300483366945248,0.0,0.0,0.017948921763936875,0.008179536875075463,0.0,0.0,0.0,0.006857322676668291,0.0,0.0,5.3760480048587294e-05,0.0,0.0,0.0,0.0,0.0016962130233960115,0.0,0.0,0.0,0.0,0.0034942984526235735,0.0,0.0,0.0,0.010906540581500245,0.0
Villus-associated Fibroblast WNT5B+,0.023453381763663485,0.03153790285767451,0.028078914363162257,0.0,0.01794482140297903,0.03393258950455281,0.0,0.0,0.015124309316969488,0.028792991248947238,0.02918641434988778,0.008484693950957427,0.012200841449156702,0.040007435125507,0.006132401628508206,0.026976857324477625,0.03462759685382361,0.04173548281752956,0.038236721636013736,0.00891719787512255,0.0055219357345460416,0.007187325720087184,0.012142762958072094,0.0,0.012353522820504552,0.04714273908539442,0.03599413250332353,0.02734090013567082,0.013445916722233987,0.01824606384577403
BEST4+,0.05961484188442964,0.06528419555443189,0.07105469566339394,0.0,0.05089670215536851,0.01624879324787276,0.0,0.0,0.0,0.0,0.01945204720968869,0.0,0.00293543837659491,0.02450147482612117,0.0,0.010714421239190659,0.00465032964161598,0.027133383869112508,0.0,0.0,0.0,0.0,0.025974490672970686,0.0,0.0,0.0,0.010181274727954423,0.0,0.0,0.0
Enterocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008823332997533087,0.040111596658665365,0.0012768206607955308,0.0,0.016741868209424794,0.01892736924075155,0.0,0.0,0.0,0.01850305839892462,0.0,0.006875141033901918,0.0,0.01554897703933232,0.060381463204324595,0.0,0.0015097769365620564,0.0,0.0,0.0,0.043080443256119,0.0
Enteroendocrine,0.005929380124256784,0.025272779955642304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030795369654769613,0.0,0.0
Goblet,0.0,0.0,0.0,0.0,0.0,0.0,0.012192182761074267,0.0,0.007189755016747023,0.0,0.0,0.009322145057082514,0.005234320495160861,0.0,0.0,0.0,0.0,0.0,0.00541387778748326,0.0,0.0008758978920002799,0.0061272147345163164,0.032102307716471754,0.0,0.0,0.0,0.0,0.0,0.005819104307592663,0.0
M,0.0,0.0,0.0,0.2885042043000992,0.0,0.0,0.13203694190206963,0.13036392534284277,0.131474540936165,0.0,0.09482920843152004,0.13481905090222368,0.03150721339223285,0.034032873929277216,0.07858065094025485,0.0,0.10375593775704735,0.0,0.15396333681201907,0.034572126142051345,0.08938483334394638,0.0,0.0,0.2007250622742765,0.0785095561564309,0.0,0.03916157390071842,0.0,0.0,0.0
TA,0.12817762797209614,0.03941887151850827,0.12330380778726731,0.07279152026803876,0.10233583526393916,0.03724594437956444,0.10825904170829853,0.18712587944633688,0.1453629202386976,0.08863975600313992,0.06659648857071279,0.08375759244787853,0.07102886447628043,0.05291823308019299,0.19079489345391662,0.10136618502126013,0.10586119464004407,0.08826567908919328,0.13539250981314124,0.0946958311776313,0.09081586332418447,0.08056512936209834,0.023378938664385077,0.07813815342221973,0.10715872352887265,0.13797603536325637,0.0874391213056086,0.11000695258422397,0.0943898436116207,0.14675040294194744
Tuft,0.044630762383446515,0.060065144222268926,0.05413542753475942,0.0071963493178834135,0.11227233896176296,0.10952618700032721,0.0073190494022721,0.018078532634348835,0.004496231480735823,0.05035869556117222,0.0231406138938944,0.014252051864474579,0.01860842620907592,0.016254025367865,0.0191380527402067,0.03939144881978277,0.011888828826246717,0.01616668824181651,0.023680797289042967,0.05258512167937225,0.011080396209521216,0.03490302110861208,0.0,0.030935796394251355,0.03786081372010235,0.027618966367202662,0.05402593048520614,0.05519194330662516,0.03411818857938644,0.05052252418962519
