sample,Arterial Pericyte,Blood Endothelial Cell,CD209+ moDC,CD4 SELL naive,CD4 TRM,CD4 Tfh,CD4 Th1,CD4 Th17,CD4 Tph,CD4 Treg,CD8 Effector,CD8 IEL,CD8 SELL Naive,CD83+ CLEC9A+ DC,CD83- CLEC9A+ DC,CLEC10A+ DC,Enterocyte,Enteroendocrine Cell,Epithelial M Cell,Epithelial Progenitor Cell,Epithelial Stem Cell,Fibroblast,GC-like B cell,Glial Cell,Goblet Cell,IL7R+ Activated DC,ILC3,Inflammatory Fibroblast,LTB+ DC,Lymphatic Endothelial Cell,MAIT,Mast Cell,Memory B cell,Monocyte Inflammatory,Myofibroblast,NK,Naive B cell,Pericyte,Plasma Cell,Plasmablast,Post-capillary venules,Proliferating Stromal Cell,Proliferating T cells,Proliferating myeloid,Resident Macrophage,Smooth Muscle Cell,Tuft Cell,gd T cell 1,gd T cell 2
CID007802-1,0.0042705842159207,0.0204988042364195,0.019986334130509,0.0237444482405193,0.0502220703792278,0.0362145541510078,0.003928937478647,0.0134950461223095,0.0034164673727365,0.0724291083020157,0.1547659719849675,0.0020498804236419,0.0008541168431841,0.0011957635804578,0.0003416467372736,0.0112743423300307,0.0102494021182097,0.0040997608472839,0.0,0.0550051247010591,0.0003416467372736,0.0326272634096344,0.0034164673727365,0.0030748206354629,0.0068329347454731,0.0013665869490946,0.0054663477963785,0.0107618722241202,0.0,0.0047830543218312,0.0020498804236419,0.0027331738981892,0.1409292791253843,0.0502220703792278,0.0032456440040997,0.0066621113768363,0.0145199863341305,0.0076870515886573,0.1704817218995558,0.0099077553809361,0.0145199863341305,0.0030748206354629,0.0088828151691151,0.0013665869490946,0.0056371711650153,0.0011957635804578,0.0,0.0001708233686368,0.0
CID007804-1,0.0007826767545003,0.0067831985390033,0.0318288546830159,0.0448734672580224,0.2113227237151056,0.0062614140360031,0.0049569527785024,0.010174797808505,0.0013044612575006,0.0568745108270284,0.0652230628750326,0.0148708583355074,0.0166971040960083,0.0028698147665014,0.0028698147665014,0.0255674406470127,0.0422645447430211,0.0026089225150013,0.0002608922515001,0.138012001043569,0.0026089225150013,0.0146099660840073,0.0,0.0,0.0093921210540046,0.0002608922515001,0.008087659796504,0.0,0.0,0.0010435690060005,0.0331333159405165,0.0028698147665014,0.0250456561440125,0.034176884946517,0.0010435690060005,0.0198278111140099,0.0086094442995043,0.0015653535090007,0.0973128098095486,0.0054787372815027,0.0026089225150013,0.0,0.0114792590660057,0.0015653535090007,0.0232194103835116,0.0007826767545003,0.0005217845030002,0.008087659796504,0.0002608922515001
CID008392-1,0.0060975609756097,0.0270579268292682,0.0026676829268292,0.0095274390243902,0.1733993902439024,0.0045731707317073,0.003810975609756,0.0201981707317073,0.0007621951219512,0.0788871951219512,0.0377286585365853,0.0095274390243902,0.0022865853658536,0.0015243902439024,0.0007621951219512,0.0182926829268292,0.3471798780487805,0.0003810975609756,0.0,0.0987042682926829,0.0,0.0083841463414634,0.0003810975609756,0.0034298780487804,0.0384908536585365,0.0003810975609756,0.0053353658536585,0.0003810975609756,0.0,0.0053353658536585,0.001905487804878,0.001905487804878,0.0026676829268292,0.008765243902439,0.0,0.0068597560975609,0.0034298780487804,0.0076219512195121,0.0358231707317073,0.0011432926829268,0.0076219512195121,0.0003810975609756,0.0041920731707317,0.0022865853658536,0.0049542682926829,0.0003810975609756,0.0003810975609756,0.003810975609756,0.0003810975609756
CID008394-1,0.0030062858704564,0.0049193768789286,0.0306094561355561,0.0109319486198414,0.1093194861984148,0.0068324678874009,0.0237769882481552,0.015031429352282,0.0139382344902978,0.0617655097021044,0.0338890407215086,0.0122984421973216,0.000546597430992,0.0008198961464881,0.0,0.0161246242142661,0.0019130910084722,0.0,0.0,0.0030062858704564,0.0,0.0021863897239682,0.0,0.0235036895326591,0.0010931948619841,0.074063951899426,0.0008198961464881,0.0013664935774801,0.0,0.0010931948619841,0.0,0.0046460781634326,0.0158513254987701,0.3845312927029243,0.000546597430992,0.0081989614648811,0.0054659743099207,0.0027329871549603,0.096201147854605,0.0008198961464881,0.0024596884394643,0.0010931948619841,0.0183110139382344,0.000546597430992,0.0038261820169445,0.0,0.0,0.0016397922929762,0.000273298715496
CID008396-1,0.0019167579408543,0.0134173055859802,0.0079408543263964,0.1013143483023001,0.3480284775465498,0.0136911281489594,0.0041073384446878,0.0104052573932092,0.0002738225629791,0.0952902519167579,0.0418948521358159,0.0440854326396495,0.0197152245345016,0.0008214676889375,0.0005476451259583,0.0257393209200438,0.0339539978094194,0.0,0.0,0.01013143483023,0.0,0.0038335158817086,0.0002738225629791,0.0016429353778751,0.0019167579408543,0.0,0.0054764512595837,0.0008214676889375,0.0,0.003012048192771,0.0180722891566265,0.0008214676889375,0.0194414019715224,0.0139649507119386,0.0005476451259583,0.0095837897042716,0.0164293537787513,0.0073932092004381,0.1054216867469879,0.0010952902519167,0.0062979189485213,0.0008214676889375,0.003012048192771,0.0013691128148959,0.0019167579408543,0.0,0.0,0.0035596933187294,0.0
CID008398-1,0.0146601510439804,0.0168813860506441,0.0071079520213238,0.0008884940026654,0.1925810750777432,0.0015548645046645,0.004220346512661,0.0062194580186583,0.0002221235006663,0.0199911150599733,0.0115504220346512,0.103731674811195,0.0,0.0006663705019991,0.0006663705019991,0.0051088405153265,0.1908040870724122,0.0039982230119946,0.0,0.1072856508218569,0.0008884940026654,0.1681474900044424,0.0,0.0186583740559751,0.0037760995113282,0.0,0.0013327410039982,0.0,0.0,0.0022212350066637,0.0002221235006663,0.0017769880053309,0.0031097290093291,0.0017769880053309,0.0035539760106619,0.0062194580186583,0.0,0.0035539760106619,0.0804087072412261,0.0002221235006663,0.0071079520213238,0.0004442470013327,0.0019991115059973,0.0,0.0033318525099955,0.0002221235006663,0.0022212350066637,0.0006663705019991,0.0
CID008400-1,0.0061522686490643,0.0097410920276852,0.0048705460138426,0.0005126890540886,0.3968213278646501,0.0082030248654191,0.0038451679056652,0.0110228146629069,0.0,0.0084593693924634,0.0264034862855678,0.0579338631120225,0.0,0.0010253781081773,0.0010253781081773,0.0089720584465521,0.1422712125096129,0.0012817226352217,0.0,0.0774160471673929,0.0002563445270443,0.0556267623686234,0.0,0.0082030248654191,0.000769033581133,0.0002563445270443,0.0076903358113304,0.0,0.0,0.0002563445270443,0.0017944116893104,0.0010253781081773,0.0225583183799025,0.0017944116893104,0.000769033581133,0.0120481927710843,0.0010253781081773,0.0028197897974878,0.1012560881825173,0.0005126890540886,0.001538067162266,0.0002563445270443,0.0005126890540886,0.0002563445270443,0.006664957703153,0.0,0.0025634452704434,0.0030761343245321,0.0005126890540886
CID008402-1,0.005011135857461,0.0243132887899034,0.0137342242019302,0.0005567928730512,0.2802524127691165,0.0012991833704528,0.0003711952487008,0.0295100222717149,0.0001855976243504,0.0040831477357089,0.0269116555308092,0.0957683741648107,0.0,0.0001855976243504,0.0005567928730512,0.0074239049740163,0.0924276169265033,0.0137342242019302,0.0,0.2325538233110616,0.0016703786191536,0.0217149220489977,0.0,0.0068671121009651,0.0066815144766146,0.0001855976243504,0.0057535263548626,0.0,0.0,0.0020415738678544,0.0007423904974016,0.0122494432071269,0.010022271714922,0.0022271714922048,0.000927988121752,0.0051967334818114,0.0,0.0024127691165553,0.06365998515219,0.0001855976243504,0.0098366740905716,0.0007423904974016,0.0072383073496659,0.0005567928730512,0.0048255382331106,0.0,0.0042687453600593,0.000927988121752,0.0001855976243504
CID008404-1,0.0043315613309706,0.0118133490844654,0.0041346721795629,0.008860011813349,0.186650915534554,0.0106320141760189,0.0003937783028155,0.0043315613309706,0.0003937783028155,0.0226422524118921,0.0143729080527662,0.0395747194329592,0.0005906674542232,0.0017720023626698,0.0013782240598543,0.0261862571372317,0.1984642646190195,0.008860011813349,0.0,0.2006300452845048,0.0009844457570387,0.001575113211262,0.0011813349084465,0.0100413467217956,0.0118133490844654,0.0021657806654853,0.0179169127781059,0.0,0.0,0.0009844457570387,0.0011813349084465,0.000787556605631,0.0200826934435912,0.0476471746406772,0.0,0.0068911202992715,0.0070880094506792,0.0033471155739318,0.094900570978539,0.000787556605631,0.0096475684189801,0.0,0.002362669816893,0.000787556605631,0.0021657806654853,0.0,0.0021657806654853,0.0068911202992715,0.0005906674542232
CID008406-1,0.0030058237835806,0.0340033815517565,0.0026300958106331,0.0001878639864737,0.3610745820026301,0.0041330077024234,0.0011271839188427,0.0155927108773248,0.0,0.0041330077024234,0.0475295885778696,0.2397144467405598,0.0,0.0005635919594213,0.0016907758782641,0.003569415743002,0.0465902686455006,0.0043208716888972,0.0,0.0866052977644185,0.0,0.0086417433777944,0.0,0.0152169829043772,0.0026300958106331,0.0003757279729475,0.0052601916212662,0.0,0.0,0.0011271839188427,0.0009393199323689,0.0013150479053165,0.0022543678376855,0.0007514559458951,0.0007514559458951,0.0155927108773248,0.0,0.003569415743002,0.0411422130377606,0.0,0.008078151418373,0.0,0.0013150479053165,0.0018786398647379,0.0159684388502724,0.0013150479053165,0.0050723276347924,0.009956791283111,0.0003757279729475
