,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID007329-1,0.09393041976824619,0.00104461319230841,0.00011467225302895547,0.08841168537531112,8.46497772256701e-05,0.2714159169601947,0.544998042673685,0.7189315288950522,0.5434133700886559
CID007330-1,0.00011313480349290076,0.00550045125163731,0.03234010352516724,0.5337165100855831,0.0003062891194912558,0.2619562297513542,0.1660672814632741,0.7874220292639437,0.5699748352807856
CID007338-1,0.03645210605522044,0.00023185714113282014,0.0031016746563910145,0.17536466309298274,0.000990697713220806,0.25433226488716126,0.5295267364538909,0.8735853006482788,0.6148815836775009
CID007346-1,0.0028789017060935522,0.05345476915298649,0.0006059495934278361,0.18261746327506215,0.10188700787186618,0.29457672336888124,0.36397918503168264,0.7644852126360465,0.6226522671471502
CID007352-1,0.48714242918705114,0.03214389006465953,0.00014466101349340402,0.03397204322651518,0.00015939801758106596,0.19229921712743805,0.25413836136326173,0.7992430667226711,0.5051389158269057
CID007358-1,0.18623858374639093,2.8666841855580826e-06,0.006023209689109958,0.1391902326087706,0.000444319137392856,0.3319913978162027,0.3361093903179475,0.8687435949989752,0.6012065411058617
CID007659-1,0.2231864984767157,0.05105073045999532,0.0077704776533861165,0.3739314494947246,0.00039027692887735145,0.05380740282253009,0.2898631641637708,0.8123303397173038,0.6153069784634096
CID007661-1,0.06766456662834934,0.00253247349307682,7.429832761496943e-05,0.29542175679995264,0.004219361540427081,0.05471243952817411,0.5753751036824051,0.8396470309648842,0.579717102786302
CID007664-1,0.0079352208320958,0.007982441998813533,0.0017445971741473004,0.08045796569641936,0.03202773571605515,0.08606604922635534,0.7837859893561135,0.754139839283064,0.6178946296939891
CID007665-1,0.14142955189990755,0.0002965076355363068,4.182055578343536e-05,0.1355795593000835,0.0017806133164529547,0.35178405714004096,0.3690878901521953,0.8249160724003647,0.5666771004572547
CID007666-1,0.2794723916132681,0.0007975874799285657,0.000366290404442848,0.16601598564098818,0.001054650297142269,0.17643346077028776,0.3758596337939424,0.7874988165290014,0.5807872908741499
CID007667-1,0.23773755587789855,0.017390929518833736,0.001998039360918019,0.324260412726132,0.017803513828033912,0.09929393949375154,0.30151560919443227,0.8610768496878721,0.6468342036246748
CID007672-1,0.4111152777835187,0.000147656928446617,0.024883495044054998,0.0053402034847815465,0.000662787759418,0.17162856842263383,0.38622201057714634,0.7096762687076738,0.4171521055142011
CID007676-1,0.2932885473542093,0.05564096548914909,7.771444460499453e-05,0.10612522331255492,7.00434607490024e-06,0.25851102954302524,0.28634951551038157,0.7705917647941198,0.5248182372099451
CID007681-1,0.2022345411633065,0.12275685245178325,6.284869396797617e-05,0.14425056639339137,0.01062067239434563,0.21513374955739228,0.30494076934581305,0.7691098092914235,0.6514896326899575
CID007688-1,0.001597136905763279,0.5281444388325384,8.816235453649584e-05,0.017568790710259196,0.001142651468230511,0.10477877258827334,0.34668004714039885,0.7194364206382795,0.6084273469396252
CID007694-1,0.03909744862046085,0.04929200441136836,0.00033983149618449304,0.19098889406746292,0.08370371342037893,0.32240318079567226,0.3141749271884722,0.7781113811178277,0.5797887057567307
CID007697-1,0.22131951769612684,1.7752809338108778e-05,0.00041598540198650377,0.1790561074336947,0.0008828215192001145,0.06136644652698444,0.5369413686126693,0.7756454579100333,0.5931448052034927
CID007704-1,0.03231235990308283,0.003659015922739085,0.00046115919785903075,0.2721250690507016,0.0002846352570480032,0.19027434508973784,0.5008834155788315,0.8411217740441815,0.6030468630784217
