,B Cell,Epithelium,Myeloid,T Cell,Other1,Other2,Other3,rho_Spearman,rho_Pearson
CID003669-1,0.2475091846169271,1.3526236179683228e-05,0.021670083510510394,0.054487650809975016,0.00026266748777720124,0.32999800208497226,0.3460588852536583,0.7664915486523527,0.5078532431743061
CID003670-1,0.360441178049016,0.0009999533234249247,0.00020407232280183975,0.14923136147559768,0.0003535818896473796,0.017908379000555984,0.4708614739389561,0.7705488130433743,0.5372166451973192
CID003671-1,0.2275206395612071,2.2929966342558094e-05,0.06828060776428882,0.11212845630209194,7.686869653652285e-05,0.24690261582445408,0.345067881885079,0.8388388643726246,0.5788370459357844
CID003672-1,0.22067059485490956,0.009248870114024093,0.0004390325730454818,0.2651212022356405,0.0016078936354591762,0.1641583290824718,0.33875407750444936,0.8608127678439486,0.6652149814377477
CID003673-1,0.0018028296509997048,0.2261963555437759,0.0081929987996683,0.12453000629320651,0.2758924199865775,0.06892776549177615,0.2944576242339959,0.7682548608381556,0.6429121437856579
CID003674-1,0.1616028323824553,0.0287611953908746,0.0008409659231300741,0.07128421100066164,0.0013882770538685442,0.13066918499768757,0.6054533332513222,0.7904108724404749,0.618116334510371
CID003675-1,0.17159269383719947,0.035365790974398036,3.3418480816315484e-05,0.04033596121040246,0.28196442301788,0.06606076333606502,0.4046469491432388,0.7806748510261052,0.6235186173465923
CID003676-2,0.002334665115325814,0.049714915223952556,0.00022051551224093515,0.009981488550628777,0.299699941652947,0.20040259873735508,0.43764587520754994,0.7585005406704314,0.574465469028568
CID003677-1,0.013396597665149182,0.05926577436729622,0.0040186368007967795,0.3965366798131246,0.03780496922786908,0.2406791917695758,0.24829815035618832,0.7864387134164011,0.6163070050716075
CID003678-1,0.0009256174959916103,0.1317787636095341,0.00768452052334214,0.20909713983431297,0.27844339542563623,0.13267655164820216,0.23939401146298075,0.7080706563118623,0.6016061238040562
CID003679-1,0.15658752322166666,0.0420821672486319,0.00212473247354346,0.3916850044902769,0.021045384692692595,0.10080461961461219,0.2856705682585764,0.8437861912956891,0.6877384135870824
CID003680-1,0.00028024929157570243,0.19274974458461902,0.00014572997053266347,0.3201834406944898,0.1747000334835025,0.026137854032752483,0.2858029479425279,0.7594656162225901,0.5960501048032552
CID003681-1,2.201967721119001e-06,0.11109448467949501,0.0001729315497036579,0.0753155289167166,0.3051482357081372,0.23926578408894383,0.26900083308928247,0.7566219495035812,0.5689185462193217
CID003682-1,0.021485486157693537,0.2725564135713967,0.00013239574190643767,0.11396230117643719,0.2630538259350779,0.09901229389147004,0.22979728352601814,0.6788573350387019,0.5976575520292906
CID003683-1,3.987079528539476e-05,0.36071066545166447,0.0006101057810908689,8.550795014720316e-05,0.1306962828099287,0.33007503485030193,0.17778253236158148,0.6995357796201648,0.5415774360445398
CID004696-1,0.0009578513323531565,0.0006521816537035371,0.0007617825694626863,0.21552880077415548,0.16090844441541985,0.1017014876074474,0.5194894516474579,0.7763661888576918,0.5870164089535141
