,T Lineage,Fibroblast,B Cell,Plasma Cell,Myeloid Cell,Endothelial Cell,ILC,Mast Cell,Glial Cell,Epithelial Cell
TWNK,1.7473596e-06,2.899887e-06,2.43021e-06,1.5589193e-06,7.8759757e-07,4.2751917e-06,2.776288e-06,0.0,2.2711206e-06,3.6819706e-06
LZTS2,4.028247e-06,2.5896035e-05,4.2978904e-06,4.9939567e-06,6.851199e-06,2.4168046e-05,8.235421e-06,1.899468e-06,1.9734356e-05,1.2708669e-05
PDZD7,3.2536432e-06,2.8190884e-06,1.5127845e-06,9.365915e-06,3.1604475e-06,2.3344192e-06,2.83022e-06,0.0,3.2224605e-06,1.7655882e-05
SFXN3,1.8504406e-05,4.315971e-05,3.6163062e-06,8.129256e-06,1.9590007e-05,4.55121e-05,1.5478612e-05,8.396665e-06,5.1786632e-05,3.39918e-05
AL133215.2,2.2005428e-07,6.328291e-07,1.3753127e-07,4.9734143e-07,2.3880744e-07,4.101976e-07,6.0745367e-07,0.0,0.0,3.7626326e-06
KAZALD1,5.4486893e-08,8.049653e-06,5.0869513e-08,2.1339459e-07,0.0,3.2241662e-06,0.0,0.0,0.0,3.2684035e-05
TLX1,2.1956449e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859117e-07
LINC01514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL133387.2,6.848282e-07,1.1398115e-06,5.2932893e-07,6.178005e-07,9.084398e-08,1.2697333e-06,1.3073302e-06,6.2077675e-06,0.0,4.6018826e-07
AL133387.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL133387.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTRC,8.19619e-06,1.5357215e-05,4.0190116e-06,6.13425e-06,6.065355e-06,1.7463532e-05,6.9821144e-06,2.0524009e-05,1.8530156e-05,9.934593e-06
DPCD,2.2543893e-06,4.6943383e-05,2.0357822e-06,2.77662e-05,1.2048421e-05,2.3011584e-05,2.7103656e-06,8.400861e-06,2.4433311e-05,3.0959865e-05
POLL,2.1549335e-05,2.096598e-05,2.0972302e-05,1.9872843e-05,1.4591882e-05,1.6756489e-05,2.4428899e-05,1.933765e-05,2.2079648e-05,2.0676298e-05
FBXW4,2.0976466e-05,2.0666745e-05,1.6875594e-05,1.5450407e-05,1.3304701e-05,2.225671e-05,2.0484971e-05,1.9843792e-05,1.5574242e-05,2.1831163e-05
AC010789.1,0.0,0.0,0.0,0.0,1.6078697e-07,0.0,0.0,0.0,0.0,1.3823269e-07
FGF8,0.0,0.0,0.0,2.754797e-08,0.0,0.0,0.0,0.0,0.0,6.730743e-08
